crid,incident_date,beat_2012_geocoded,complaintcategory,finalfinding,officer_id
1027698,26-Jun-2009  0:00,,03C-SEARCH OF PREMISE/VEHICLE WITHOUT WARRANT,NS,900
1027698,26-Jun-2009  0:00,,03C-SEARCH OF PREMISE/VEHICLE WITHOUT WARRANT,NS,901
1027702,26-Jun-2009  0:00,1523,03B-SEARCH OF PERSON WITHOUT WARRANT,NAF,902
1027702,26-Jun-2009  0:00,1523,03B-SEARCH OF PERSON WITHOUT WARRANT,NAF,903
1027702,26-Jun-2009  0:00,1523,03B-SEARCH OF PERSON WITHOUT WARRANT,NAF,904
1027702,26-Jun-2009  0:00,1523,03B-SEARCH OF PERSON WITHOUT WARRANT,NAF,292
1027705,27-Jun-2009  1:08,1524,"05P-EXCESSIVE FORCE - OFF DUTY (INCLUDES NEIGHBOR, TRAFFIC, TAV)",NAF,622
1027705,27-Jun-2009  1:08,1524,"05P-EXCESSIVE FORCE - OFF DUTY (INCLUDES NEIGHBOR, TRAFFIC, TAV)",NAF,905
1027708,26-Jun-2009  0:00,2515,01C-MISCELLANEOUS,NAF,906
1027709,27-Jun-2009  12:59,,03C-SEARCH OF PREMISE/VEHICLE WITHOUT WARRANT,NAF,907
1027709,27-Jun-2009  12:59,,03C-SEARCH OF PREMISE/VEHICLE WITHOUT WARRANT,NAF,908
1027709,27-Jun-2009  12:59,,03C-SEARCH OF PREMISE/VEHICLE WITHOUT WARRANT,NAF,45
1027709,27-Jun-2009  12:59,,03C-SEARCH OF PREMISE/VEHICLE WITHOUT WARRANT,NAF,909
1027709,27-Jun-2009  12:59,,03C-SEARCH OF PREMISE/VEHICLE WITHOUT WARRANT,NAF,910
1027709,27-Jun-2009  12:59,,03C-SEARCH OF PREMISE/VEHICLE WITHOUT WARRANT,NAF,225
1027709,27-Jun-2009  12:59,,03C-SEARCH OF PREMISE/VEHICLE WITHOUT WARRANT,NAF,911
1027709,27-Jun-2009  12:59,,03C-SEARCH OF PREMISE/VEHICLE WITHOUT WARRANT,NAF,912
1027709,27-Jun-2009  12:59,,03C-SEARCH OF PREMISE/VEHICLE WITHOUT WARRANT,NAF,226
1027713,27-Jun-2009  21:00,0622,"05P-EXCESSIVE FORCE - OFF DUTY (INCLUDES NEIGHBOR, TRAFFIC, TAV)",UN,913
1027713,27-Jun-2009  21:00,0622,"05P-EXCESSIVE FORCE - OFF DUTY (INCLUDES NEIGHBOR, TRAFFIC, TAV)",UN,670
1027715,27-Jun-2009  22:58,0321,10Z-MISCELLANEOUS,UN,914
1027716,27-Jun-2009  23:30,2533,05A-ARRESTEE - DURING ARREST,NS,915
1027716,27-Jun-2009  23:30,2533,05A-ARRESTEE - DURING ARREST,NS,916
1027741,28-Jun-2009  14:00,,03C-SEARCH OF PREMISE/VEHICLE WITHOUT WARRANT,NS,917
1027741,28-Jun-2009  14:00,,03C-SEARCH OF PREMISE/VEHICLE WITHOUT WARRANT,NS,918
1027741,28-Jun-2009  14:00,,03C-SEARCH OF PREMISE/VEHICLE WITHOUT WARRANT,NS,919
